subjectName,expnumb,ID,allTrials,RT,timeInterval,ts2,what,error
masked,1,371334993,8,1.749018708,0.7,0.7,6.221059042,1.049018708
masked,1,371334993,10,1.701254375,0.7,0.7,5.997944167,1.001254375
masked,1,371334993,12,1.485016333,0.7,0.7,5.897840625,0.785016333
masked,1,371334993,21,1.784589042,1.1,1.1,6.481117708,0.684589042
masked,1,371334993,25,1.4845825,0.7,0.7,5.948008167,0.7845825
masked,1,371334993,26,1.618206083,1.1,1.1,6.41479175,0.518206083
masked,1,371334993,28,1.051487708,1.9,1.9,6.664079042,0.848512292
masked,1,371334993,29,1.568384208,1.1,1.1,6.364899,0.468384208
masked,1,371334993,34,1.468913875,1.1,1.1,6.348719375,0.368913875
masked,1,371334993,35,1.134827667,1.9,1.9,6.697053417,0.765172333
masked,1,371334993,36,1.784530667,1.9,1.9,7.380839542,0.115469333
masked,1,371334993,38,1.667924,0.7,0.7,5.964490958,0.967924
masked,1,371334993,39,1.434724625,0.7,0.7,5.814697458,0.734724625
masked,1,371334993,40,1.034799667,0.4,0.4,5.081529083,0.634799667
masked,1,250604361,2,2.334290417,1.9,1.9,8.029825583,0.434290417
masked,1,250604361,3,1.468549708,1.1,1.1,6.34854975,0.368549708
masked,1,250604361,4,0.684729083,1.1,1.1,5.414084083,0.415270917
masked,1,250604361,6,1.634674083,1.1,1.1,6.481020417,0.534674083
masked,1,250604361,7,1.384551708,0.7,0.7,5.847917583,0.684551708
masked,1,250604361,8,1.301355458,0.7,0.7,5.664772208,0.601355458
masked,1,250604361,10,1.151423208,0.5,0.5,5.314705625,0.651423208
masked,1,250604361,11,1.6678945,1.9,1.9,7.297624208,0.2321055
masked,1,250604361,12,1.2850295,0.4,0.4,5.298577375,0.8850295
masked,1,250604361,13,1.052241,0.4,0.4,5.048691292,0.652241
masked,1,250604361,14,1.184898667,0.7,0.7,5.530734958,0.484898667
masked,1,250604361,15,1.134938792,0.4,0.4,5.148252167,0.734938792
masked,1,250604361,16,0.9347855,0.7,0.7,5.264638375,0.2347855
masked,1,250604361,17,2.201157583,1.9,1.9,7.69758525,0.301157583
masked,1,250604361,18,1.618021292,0.7,0.7,6.097997083,0.918021292
masked,1,250604361,19,1.484776625,1.1,1.1,6.26461075,0.384776625
masked,1,250604361,20,1.068190958,0.5,0.5,5.34810475,0.568190958
masked,1,250604361,21,0.93541575,0.5,0.5,5.09885875,0.43541575
masked,1,250604361,22,1.934633833,1.9,1.9,7.596966292,0.034633833
masked,1,250604361,23,1.018122958,0.4,0.4,5.181514083,0.618122958
masked,1,250604361,24,1.585274042,1.1,1.1,6.431841333,0.485274042
masked,1,250604361,25,0.835156083,0.4,0.4,4.914613,0.435156083
masked,1,250604361,26,0.71822175,0.7,0.7,5.097943375,0.01822175
masked,1,250604361,27,0.6521325,0.5,0.5,4.799050125,0.1521325
masked,1,250604361,28,1.001324875,0.7,0.7,5.313995875,0.301324875
masked,1,250604361,29,1.301698,1.1,1.1,6.09814475,0.201698
masked,1,250604361,30,1.451277042,1.9,1.9,6.963811458,0.448722958
masked,1,250604361,31,1.65148,1.9,1.9,7.331238458,0.24852
masked,1,250604361,32,1.518015042,1.9,1.9,7.030776042,0.381984958
masked,1,250604361,33,1.101350583,0.4,0.4,5.231450292,0.701350583
masked,1,250604361,34,0.735085125,0.5,0.5,4.915232833,0.235085125
masked,1,250604361,35,0.835238292,0.5,0.5,5.131715417,0.335238292
masked,1,250604361,36,0.851511875,0.5,0.5,4.9977715,0.351511875
masked,1,250604361,37,1.368058583,1.1,1.1,6.231227375,0.268058583
masked,1,250604361,38,0.9686715,0.4,0.4,5.031825958,0.5686715
masked,1,250604361,39,1.051834917,1.1,1.1,5.747813875,0.048165083
masked,1,250604361,40,0.8514795,0.4,0.4,4.947684333,0.4514795
masked,2,250604361,1,0.834846917,0.5,0.5,5.0990005,0.334846917
masked,2,250604361,2,1.334697583,1.9,1.9,6.914149542,0.565302417
masked,2,250604361,3,0.618545042,0.7,0.7,4.965263167,0.081454958
masked,2,250604361,4,1.218536417,1.9,1.9,6.797844583,0.681463583
masked,2,250604361,5,1.734954958,1.9,1.9,7.430568875,0.165045042
masked,2,250604361,7,0.61817125,1.1,1.1,5.43109275,0.48182875
masked,2,250604361,8,0.935685333,0.4,0.4,5.099033125,0.535685333
masked,2,250604361,9,0.784973167,1.9,1.9,6.413554125,1.115026833
masked,2,250604361,10,0.701492417,0.4,0.4,4.74798725,0.301492417
masked,2,250604361,11,1.118040208,1.1,1.1,5.881376667,0.018040208
masked,2,250604361,12,1.301464667,0.7,0.7,5.631158333,0.601464667
masked,2,250604361,13,1.067993958,0.7,0.7,5.414540833,0.367993958
masked,2,250604361,14,0.834919333,0.4,0.4,4.831566417,0.434919333
masked,2,250604361,15,0.801482,0.5,0.5,4.914879625,0.301482
masked,2,250604361,16,0.7846725,0.7,0.7,5.097698375,0.0846725
masked,2,250604361,17,1.101670125,1.1,1.1,5.981576167,0.001670125
masked,2,250604361,18,1.068112292,0.7,0.7,5.480938,0.368112292
masked,2,250604361,19,0.684827125,0.5,0.5,4.98143025,0.184827125
masked,2,250604361,20,1.484836417,1.9,1.9,7.131215083,0.415163583
masked,2,250604361,21,1.1847805,1.1,1.1,6.047689917,0.0847805
masked,2,250604361,22,1.285698958,1.1,1.1,6.098669083,0.185698958
masked,2,250604361,23,1.0181335,0.4,0.4,5.213764708,0.6181335
masked,2,250604361,24,0.968286042,0.7,0.7,5.348099042,0.268286042
masked,2,250604361,25,0.834829125,0.5,0.5,5.047864833,0.334829125
masked,2,250604361,26,1.384644125,1.9,1.9,6.964143,0.515355875
masked,2,250604361,27,1.817943333,1.9,1.9,7.397606417,0.082056667
masked,2,250604361,28,1.767815542,1.9,1.9,7.34726,0.132184458
masked,2,250604361,29,0.851523625,0.4,0.4,4.964829125,0.451523625
masked,2,250604361,30,0.868218917,0.7,0.7,5.314745458,0.168218917
masked,2,250604361,31,1.001622583,1.1,1.1,5.798023667,0.098377417
masked,2,250604361,32,1.201738208,0.4,0.4,5.381417583,0.801738208
masked,2,250604361,33,0.451786667,0.4,0.4,4.464956542,0.051786667
masked,2,250604361,34,0.935381,0.7,0.7,5.414968375,0.235381
masked,2,250604361,35,0.551707625,0.4,0.4,4.647783083,0.151707625
masked,2,250604361,36,0.601545792,0.5,0.5,4.71492325,0.101545792
masked,2,250604361,37,0.55178875,0.5,0.5,4.714960208,0.05178875
masked,2,250604361,38,0.484715167,0.5,0.5,4.614513542,0.015284833
masked,2,250604361,39,0.418388417,0.5,0.5,4.615293042,0.081611583
masked,2,250604361,40,0.85100925,1.1,1.1,5.730784542,0.24899075
masked,3,250604361,1,1.251220833,1.1,1.1,5.973369458,0.151220833
masked,3,250604361,2,1.384541625,1.9,1.9,6.914434167,0.515458375
masked,3,250604361,3,1.717768292,1.9,1.9,7.21413225,0.182231708
masked,3,250604361,4,0.73505275,0.7,0.7,5.131723625,0.03505275
masked,3,250604361,5,0.601878208,0.4,0.4,4.731588375,0.201878208
masked,3,250604361,6,1.151581042,1.1,1.1,5.997777917,0.051581042
masked,3,250604361,7,1.518462708,1.9,1.9,7.1312675,0.381537292
masked,3,250604361,8,0.867394917,0.5,0.5,4.996969083,0.367394917
masked,3,250604361,9,1.001531042,0.4,0.4,5.115825708,0.601531042
masked,3,250604361,10,1.318025208,1.9,1.9,6.830914583,0.581974792
masked,3,250604361,11,0.901522917,1.1,1.1,5.714413333,0.198477083
masked,3,250604361,12,1.435023167,1.9,1.9,7.014663625,0.464976833
masked,3,250604361,13,0.585290917,0.5,0.5,4.764847,0.085290917
masked,3,250604361,14,0.935288542,1.1,1.1,5.714779833,0.164711458
masked,3,250604361,16,0.701453958,0.7,0.7,5.182437875,0.001453958
masked,3,250604361,17,1.251683458,1.1,1.1,6.14815725,0.151683458
masked,3,250604361,18,0.81894375,0.7,0.7,5.281731875,0.11894375
masked,3,250604361,19,0.351708875,0.7,0.7,4.830791542,0.348291125
masked,3,250604361,20,1.151857292,0.7,0.7,5.598518875,0.451857292
masked,3,250604361,21,1.334956292,1.1,1.1,6.231019917,0.234956292
masked,3,250604361,22,0.751390708,0.4,0.4,4.764372542,0.351390708
masked,3,250604361,23,0.71827275,0.5,0.5,4.998252083,0.21827275
masked,3,250604361,24,2.434544625,1.9,1.9,8.063925333,0.534544625
masked,3,250604361,25,1.018277958,0.5,0.5,5.28139375,0.518277958
masked,3,250604361,26,0.868054333,0.4,0.4,4.964651583,0.468054333
masked,3,250604361,27,0.918113875,0.5,0.5,5.214959458,0.418113875
masked,3,250604361,28,2.3345465,1.9,1.9,7.980775583,0.4345465
masked,3,250604361,29,1.35175425,1.1,1.1,6.198082375,0.25175425
masked,3,250604361,30,1.2684545,0.7,0.7,5.747897792,0.5684545
masked,3,250604361,31,1.318019583,1.1,1.1,6.064114833,0.218019583
masked,3,250604361,32,1.183995875,0.5,0.5,5.280480083,0.683995875
masked,3,250604361,33,0.818254042,0.4,0.4,4.8659985,0.418254042
masked,3,250604361,34,1.001840333,0.4,0.4,5.198375583,0.601840333
masked,3,250604361,35,0.901399333,0.5,0.5,5.0476185,0.401399333
masked,3,250604361,36,1.751663958,1.9,1.9,7.264702958,0.148336042
masked,3,250604361,37,0.868137042,0.4,0.4,4.964312208,0.468137042
masked,3,250604361,38,0.784866292,0.4,0.4,4.864986083,0.384866292
masked,3,250604361,39,1.167991,0.7,0.7,5.6310935,0.467991
masked,3,250604361,40,1.284942417,0.7,0.7,5.598264625,0.584942417
masked,4,250604361,1,0.83530575,0.5,0.5,4.924741667,0.33530575
masked,4,250604361,2,1.935086042,1.9,1.9,7.514373,0.035086042
masked,4,250604361,3,1.035089,0.7,0.7,5.364478292,0.335089
masked,4,250604361,4,1.668063083,1.9,1.9,7.197210542,0.231936917
masked,4,250604361,5,2.217867667,1.9,1.9,7.747226583,0.317867667
masked,4,250604361,6,2.634401167,1.9,1.9,8.33053425,0.734401167
masked,4,250604361,7,0.985040375,0.5,0.5,5.131484292,0.485040375
masked,4,250604361,8,0.9516735,0.4,0.4,4.964964792,0.5516735
masked,4,250604361,9,1.118127125,0.7,0.7,5.597984375,0.418127125
masked,4,250604361,10,1.018101708,0.7,0.7,5.447900708,0.318101708
masked,4,250604361,11,0.801341208,0.5,0.5,5.081266167,0.301341208
masked,4,250604361,12,1.401357208,1.1,1.1,6.181250292,0.301357208
masked,4,250604361,13,0.818225917,0.5,0.5,4.931177417,0.318225917
masked,4,250604361,14,0.718333417,0.4,0.4,4.74868125,0.318333417
masked,4,250604361,15,1.0180975,0.7,0.7,5.331086417,0.3180975
masked,4,250604361,16,1.484964417,1.9,1.9,7.097919458,0.415035583
masked,4,250604361,17,0.734949333,0.7,0.7,5.064506708,0.034949333
masked,4,250604361,18,1.751179,1.9,1.9,7.263921875,0.148821
masked,4,250604361,19,2.217863792,1.9,1.9,7.830830417,0.317863792
masked,4,250604361,20,1.751996667,1.1,1.1,6.581624667,0.651996667
masked,4,250604361,21,1.268131958,0.7,0.7,5.580588042,0.568131958
masked,4,250604361,22,0.968117375,0.5,0.5,5.0813085,0.468117375
masked,4,250604361,23,0.81859675,0.5,0.5,5.031804375,0.31859675
masked,4,250604361,24,1.851554542,1.9,1.9,7.497405667,0.048445458
masked,4,250604361,25,0.751551333,0.4,0.4,4.747862,0.351551333
masked,4,250604361,26,1.418699542,1.1,1.1,6.148497042,0.318699542
masked,4,250604361,27,0.901467208,0.7,0.7,5.347257333,0.201467208
masked,4,250604361,28,1.218189042,1.1,1.1,6.014728167,0.118189042
masked,4,250604361,29,0.818422792,0.4,0.4,4.814944292,0.418422792
masked,4,250604361,30,0.901565125,0.4,0.4,4.898197375,0.501565125
masked,4,250604361,31,0.601500333,0.4,0.4,4.648028875,0.201500333
masked,4,250604361,32,0.951620458,0.5,0.5,5.048412208,0.451620458
masked,4,250604361,33,0.785074708,0.7,0.7,5.081490375,0.085074708
masked,4,250604361,34,0.76813325,0.4,0.4,4.964404958,0.36813325
masked,4,250604361,35,0.918071292,1.1,1.1,5.764703542,0.181928708
masked,4,250604361,36,1.401324,1.1,1.1,6.164360083,0.301324
masked,4,250604361,37,1.0514195,0.5,0.5,5.181331625,0.5514195
masked,4,250604361,38,0.868253292,0.4,0.4,5.031511458,0.468253292
masked,4,250604361,39,1.217994417,1.1,1.1,5.930997875,0.117994417
